slug,nombre,ccaa,poblacion,precio_m2,alquiler_medio,roi,var_precio_anual,var_alquiler_anual,dias_mercado,dias_mercado_flag,fuente_precio,fuente_alquiler,fecha_extraccion,trimestre
el-ejido,El Ejido,Andalucía,91440,1100,570,6.2,9.3,7.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
el-prat-de-llobregat,El Prat de Llobregat,Cataluña,66338,2500,1120,5.4,7.9,6.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
el-puerto-de-santa-maria,El Puerto de Santa María,Andalucía,89983,1800,860,5.7,8.7,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
esplugues-de-llobregat,Esplugues de Llobregat,Cataluña,46810,3000,1280,5.1,7.6,6.1,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
gava,Gavà,Cataluña,37985,3350,1458,5.2,7.8,6.2,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
granadilla-de-abona,Granadilla de Abona,Canarias,18508,2200,1060,5.8,8.4,6.7,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
granollers,Granollers,Cataluña,50951,2200,1020,5.6,8.2,6.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
la-linea-de-la-concepcion,La Línea de la Concepción,Andalucía,64499,1200,600,6.0,9.0,7.2,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
la-orotava,La Orotava,Canarias,42514,2090,956,5.5,8.2,6.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
la-rinconada,La Rinconada,Andalucía,40724,1300,670,6.2,9.3,7.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
las-rozas,Las Rozas,C. de Madrid,99037,3800,1620,5.1,7.6,6.1,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
llucmajor,Llucmajor,Islas Baleares,20474,3600,1560,5.2,7.6,6.1,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
lucena,Lucena,Andalucía,34786,900,480,6.4,9.6,7.7,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
majadahonda,Majadahonda,C. de Madrid,40042,3830,1648,5.2,7.8,6.2,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
marratxi,Marratxí,Islas Baleares,16180,3200,1490,5.6,8.4,6.7,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
molina-de-segura,Molina de Segura,R. de Murcia,41109,1330,710,6.4,8.7,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mollet-del-valles,Mollet del Vallès,Cataluña,41911,2180,1020,5.6,8.2,6.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
naron,Narón,Galicia,31207,1160,604,6.2,9.1,7.3,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ontinyent,Ontinyent,C. Valenciana,31024,1050,540,6.2,9.3,7.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
pinto,Pinto,C. de Madrid,25038,2200,1010,5.5,8.2,6.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
pozuelo-de-alarcon,Pozuelo de Alarcón,C. de Madrid,60120,4200,1720,4.9,7.4,5.9,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
puertollano,Puertollano,Castilla-La Mancha,50772,750,400,6.4,9.6,7.7,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
rivas-vaciamadrid,Rivas-Vaciamadrid,C. de Madrid,22620,2800,1260,5.4,8.1,6.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
rubi,Rubí,Cataluña,54085,2470,1055,5.1,8.2,6.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-bartolome-de-tirajana,San Bartolomé de Tirajana,Canarias,35443,2490,1115,5.4,7.9,6.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-fernando-cadiz,San Fernando,Andalucía,85882,1540,739,5.8,8.7,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-javier,San Javier,R. de Murcia,16773,1860,846,5.5,8.1,6.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-sebastian-de-los-reyes,San Sebastián de los Reyes,C. de Madrid,57632,2900,1310,5.4,8.1,6.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sant-boi-de-llobregat,Sant Boi de Llobregat,Cataluña,78005,2580,1145,5.3,7.9,6.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sant-cugat-del-valles,Sant Cugat del Vallès,Cataluña,47210,4500,1800,4.8,7.2,5.8,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sant-feliu-de-llobregat,Sant Feliu de Llobregat,Cataluña,35797,2600,1160,5.4,7.9,6.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
segovia,Segovia,Castilla y León,54287,1550,740,5.7,8.4,6.7,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
siero,Siero,Asturias,46315,1360,662,5.8,8.7,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
torrejon-de-ardoz,Torrejón de Ardoz,C. de Madrid,88821,2600,1210,5.6,8.4,6.7,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
totana,Totana,R. de Murcia,21441,1070,545,6.1,9.0,7.2,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tres-cantos,Tres Cantos,C. de Madrid,27715,3370,1446,5.1,7.8,6.2,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ubeda,Úbeda,Andalucía,32086,1200,580,5.8,8.4,6.7,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
viladecans,Viladecans,Cataluña,53235,2600,1150,5.3,7.9,6.4,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vilanova-i-la-geltru,Vilanova i la Geltrú,Cataluña,47979,2470,1150,5.6,8.2,6.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
villena,Villena,C. Valenciana,31555,730,389,6.4,9.4,7.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
xativa,Xàtiva,C. Valenciana,24760,1100,550,6.0,8.9,7.1,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
yecla,Yecla,R. de Murcia,28415,950,500,6.3,9.4,7.6,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
zarautz,Zarautz,País Vasco,19202,4200,1820,5.2,7.8,6.2,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
torrox,Torrox,Andalucía,11869,2200,1063,5.8,11.0,9.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
almunecar,Almuñécar,Andalucía,21472,2490,1135,5.5,11.0,9.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mojacar,Mojácar,Andalucía,4394,2800,1307,5.6,12.0,10.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vera,Vera,Andalucía,6453,1800,930,6.2,10.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
los-alcazares,Los Alcázares,R. de Murcia,20408,1700,906,6.4,10.0,9.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-pedro-del-pinatar,San Pedro del Pinatar,R. de Murcia,13644,1860,955,6.2,10.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
peniscola,Peñíscola,C. Valenciana,3821,2270,1092,5.8,10.0,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mislata,Mislata,C. Valenciana,40302,2100,998,5.7,9.0,8.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
palamos,Palamós,Cataluña,14239,2600,1213,5.6,9.0,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
palafrugell,Palafrugell,Cataluña,17303,2800,1283,5.5,9.0,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
premia-de-mar,Premiá de Mar,Cataluña,24420,2740,1269,5.6,9.0,8.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tortosa,Tortosa,Cataluña,30088,1300,703,6.5,8.0,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
castello-d-empuries,Castelló d'Empúries,Cataluña,4830,2400,1160,5.8,10.0,8.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
olot,Olot,Cataluña,27482,1750,872,6.0,8.0,7.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
soller,Sóller,Islas Baleares,10515,4640,1848,4.8,10.0,8.0,16,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ciutadella-de-menorca,Ciutadella de Menorca,Islas Baleares,21296,3710,1601,5.2,9.0,8.0,18,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
felanitx,Felanitx,Islas Baleares,14123,2970,1353,5.5,9.0,8.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
yaiza,Yaiza,Canarias,3363,2800,1330,5.7,11.0,9.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
aguimes,Agüimes,Canarias,18284,1900,918,5.8,10.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
guimar,Güímar,Canarias,14014,1750,818,5.6,9.0,8.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vilagarcia-de-arousa,Vilagarcía de Arousa,Galicia,33375,1800,870,5.8,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sanxenxo,Sanxenxo,Galicia,16034,2600,1170,5.4,9.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
carballo,Carballo,Galicia,27287,1150,599,6.3,7.0,6.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cangas-do-morrazo,Cangas do Morrazo,Galicia,23231,1800,886,5.9,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
llanes,Llanes,Asturias,13184,2000,933,5.6,8.0,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
hondarribia,Hondarribia,País Vasco,14453,3400,1473,5.2,8.0,7.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
laredo,Laredo,Cantabria,12913,1960,943,5.8,8.0,7.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
montilla,Montilla,Andalucía,22949,1000,567,6.8,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
baza,Baza,Andalucía,20685,900,525,7.0,7.0,6.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
isla-cristina,Isla Cristina,Andalucía,17310,1400,746,6.4,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
rincon-de-la-victoria,Rincón de la Victoria,Andalucía,19247,2070,963,5.6,10.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
guadix,Guadix,Andalucía,20310,900,510,6.8,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
adra,Adra,Andalucía,20898,1300,693,6.4,9.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
burriana,Burriana,C. Valenciana,26211,1450,725,6.0,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
requena,Requena,C. Valenciana,18795,1100,595,6.5,7.0,6.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
aranjuez,Aranjuez,C. de Madrid,38900,2000,966,5.8,9.0,7.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-lorenzo-de-el-escorial,San Lorenzo de El Escorial,C. de Madrid,10828,2800,1213,5.2,9.0,7.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
galapagar,Galapagar,C. de Madrid,16503,2710,1215,5.4,9.0,8.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
torrelodones,Torrelodones,C. de Madrid,10743,3000,1275,5.1,9.0,7.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
arroyomolinos,Arroyomolinos,C. de Madrid,2709,2570,1188,5.5,9.0,8.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcazar-de-san-juan,Alcázar de San Juan,Castilla-La Mancha,25961,1070,579,6.5,8.0,6.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
valdepenas,Valdepeñas,Castilla-La Mancha,26217,970,552,6.8,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tomelloso,Tomelloso,Castilla-La Mancha,29586,1060,576,6.5,8.0,6.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
baeza,Baeza,Andalucía,16012,1100,567,6.2,8.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcala-la-real,Alcalá la Real,Andalucía,21558,1000,542,6.5,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
martos,Martos,Andalucía,22307,870,497,6.9,7.0,6.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
calella,Calella,Cataluña,11687,2340,1102,5.7,9.0,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
pineda-de-mar,Pineda de Mar,Cataluña,17884,2060,992,5.8,8.0,7.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tossa-de-mar,Tossa de Mar,Cataluña,3853,3200,1387,5.2,10.0,8.0,19,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
l-escala,L'Escala,Cataluña,10374,2700,1229,5.5,9.0,8.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
calatayud,Calatayud,Aragón,17078,870,511,7.0,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alcaniz,Alcañiz,Aragón,12679,960,549,6.9,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
zafra,Zafra,Extremadura,14884,960,545,6.8,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
navalmoral-de-la-mata,Navalmoral de la Mata,Extremadura,15819,960,524,6.6,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
la-union,La Unión,R. de Murcia,21380,860,520,7.3,8.0,7.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
jumilla,Jumilla,R. de Murcia,20439,950,542,6.8,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
hellin,Hellín,Castilla-La Mancha,26021,870,493,6.8,7.0,6.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
almansa,Almansa,Castilla-La Mancha,23507,970,528,6.5,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
lliria,Llíria,C. Valenciana,15550,1540,770,6.0,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
algemesi,Algemesí,C. Valenciana,25029,1400,724,6.2,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sanlucar-de-barrameda,Sanlúcar de Barrameda,Andalucía,61088,1440,743,6.2,9.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
rota,Rota,Andalucía,24197,1860,898,5.8,9.0,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
conil-de-la-frontera,Conil de la Frontera,Andalucía,16687,2200,1023,5.6,10.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tarifa,Tarifa,Andalucía,14993,2680,1201,5.4,11.0,9.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
chipiona,Chipiona,Andalucía,15518,1650,821,6.0,9.0,7.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
carmona,Carmona,Andalucía,25266,1360,682,6.0,8.0,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
osuna,Osuna,Andalucía,17212,1130,611,6.5,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
priego-de-cordoba,Priego de Córdoba,Andalucía,21732,960,521,6.5,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ciudad-rodrigo,Ciudad Rodrigo,Castilla y León,14901,940,538,6.9,7.0,6.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
barbastro,Barbastro,Aragón,14520,1200,650,6.5,8.0,6.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
haro,Haro,La Rioja,9119,1300,671,6.2,8.0,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
estella-lizarra,Estella-Lizarra,Navarra,14317,1350,677,6.0,8.0,6.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tolosa,Tolosa,País Vasco,17979,2510,1122,5.4,8.0,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mondragon,Mondragón,País Vasco,22450,2270,1050,5.6,8.0,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
bermeo,Bermeo,País Vasco,17176,2710,1236,5.5,8.0,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
gernika-lumo,Gernika-Lumo,País Vasco,15439,2520,1128,5.4,8.0,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
igualada,Igualada,Cataluña,32512,1730,860,6.0,8.0,7.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
puigcerda,Puigcerdà,Cataluña,6356,3000,1300,5.2,9.0,8.0,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
banyoles,Banyoles,Cataluña,14395,2280,1056,5.6,8.0,7.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
nules,Nules,C. Valenciana,11493,1450,748,6.2,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
tavernes-de-la-valldigna,Tavernes de la Valldigna,C. Valenciana,16412,1670,829,6.0,8.0,7.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ribadesella,Ribadesella,Asturias,6295,2070,997,5.8,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
luarca,Luarca,Asturias,16073,1850,893,5.8,8.0,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
suances,Suances,Cantabria,6117,2060,958,5.6,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
palma-del-rio,Palma del Río,Andalucía,19011,930,523,6.7,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
marchena,Marchena,Andalucía,17921,930,527,6.8,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
santa-cruz-de-la-palma,Santa Cruz de La Palma,Canarias,17265,1860,895,5.8,9.0,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
los-llanos-de-aridane,Los Llanos de Aridane,Canarias,20582,1700,793,5.6,8.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
huercal-overa,Huércal-Overa,Andalucía,13756,1030,556,6.5,7.0,6.0,27,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
velez-blanco,Vélez Blanco,Andalucía,2317,800,467,7.0,7.0,6.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
santurtzi,Santurtzi,País Vasco,49976,2300,1080,5.6,4.5,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
portugalete,Portugalete,País Vasco,54071,2400,1090,5.4,4.5,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vilafranca-del-penedes,Vilafranca del Penedès,Cataluña,28553,2300,980,5.1,5.0,7.5,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
puerto-real,Puerto Real,Andalucía,33069,1550,780,6.0,5.0,7.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
santa-eularia-des-riu,Santa Eulària des Riu,Islas Baleares,42479,3800,1450,4.6,7.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
el-vendrell,El Vendrell,Cataluña,41133,1900,830,5.2,5.5,8.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ripollet,Ripollet,Cataluña,28903,2500,1090,5.2,5.0,7.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
errenteria,Errenteria,País Vasco,39363,2700,1180,5.2,4.0,6.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sant-adria-de-besos,Sant Adrià de Besòs,Cataluña,33361,2800,1240,5.3,5.5,8.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
arucas,Arucas,Canarias,29719,2070,930,5.4,5.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
oleiros,Oleiros,Galicia,23057,2000,880,5.3,5.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
los-palacios-y-villafranca,Los Palacios y Villafranca,Andalucía,38761,1360,645,5.7,6.0,8.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
los-realejos,Los Realejos,Canarias,37867,1900,820,5.2,5.5,7.5,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
montcada-i-reixac,Montcada i Reixac,Cataluña,27068,2510,1090,5.2,5.0,7.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
la-vila-joiosa,La Vila Joiosa,C. Valenciana,37449,2300,1040,5.4,6.5,9.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sant-joan-despi,Sant Joan Despí,Cataluña,26805,3100,1310,5.1,5.0,7.5,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
azuqueca-de-henares,Azuqueca de Henares,Castilla-La Mancha,16013,1700,860,6.1,6.0,9.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
aldaia,Aldaia,C. Valenciana,23425,1700,820,5.8,6.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
salt,Salt,Cataluña,21519,1900,860,5.4,5.0,7.5,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
arteixo,Arteixo,Galicia,20898,1700,780,5.5,5.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-roque,San Roque,Andalucía,22168,1500,760,6.1,5.5,7.5,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
petrer,Petrer,C. Valenciana,26505,1460,705,5.8,5.0,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
barbera-del-valles,Barberà del Vallès,Cataluña,25484,2580,1095,5.1,5.0,7.5,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
nijar,Níjar,Andalucía,15017,1170,540,5.5,5.0,7.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ames,Ames,Galicia,13288,1820,800,5.3,5.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
ingenio,Ingenio,Canarias,24394,1860,850,5.5,5.0,7.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
leioa,Leioa,País Vasco,26256,2900,1230,5.1,4.5,6.5,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sant-pere-de-ribes,Sant Pere de Ribes,Cataluña,18695,2400,1040,5.2,5.5,8.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
manises,Manises,C. Valenciana,25170,1700,810,5.7,6.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
la-vall-d-uixo,La Vall d'Uixó,C. Valenciana,32242,1060,535,6.1,5.0,7.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
xirivella,Xirivella,C. Valenciana,26478,1970,925,5.6,6.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
el-campello,El Campello,C. Valenciana,31419,2170,955,5.3,6.5,9.0,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
coria-del-rio,Coria del Río,Andalucía,23362,1330,745,6.7,6.0,8.0,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
arcos-de-la-frontera,Arcos de la Frontera,Andalucía,28110,1300,660,6.1,5.0,7.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
culleredo,Culleredo,Galicia,18513,1950,860,5.3,5.0,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
crevillent,Crevillent,C. Valenciana,30921,1120,590,6.3,5.0,7.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sesena,Seseña,Castilla-La Mancha,3597,1500,780,6.2,7.0,9.5,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
catarroja,Catarroja,C. Valenciana,20627,1750,830,5.7,6.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
camargo,Camargo,Cantabria,22311,1730,785,5.4,5.0,7.0,23,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
alaquas,Alaquàs,C. Valenciana,25514,1620,845,6.3,6.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
villaviciosa-de-odon,Villaviciosa de Odón,C. de Madrid,17019,2940,1255,5.1,5.5,8.5,20,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
puente-genil,Puente Genil,Andalucía,27472,1050,605,6.9,5.0,7.5,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
san-andres-del-rabanedo,San Andrés del Rabanedo,Castilla y León,23226,1140,575,6.1,4.5,6.5,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sant-josep-de-sa-talaia,Sant Josep de sa Talaia,Islas Baleares,29761,3700,1420,4.6,7.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
lepe,Lepe,Andalucía,18325,1300,680,6.3,5.5,8.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
vicar,Vícar,Andalucía,14807,1060,605,6.8,5.0,7.0,28,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
cartama,Cártama,Andalucía,12713,1900,900,5.7,6.0,8.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
martorell,Martorell,Cataluña,17822,2200,960,5.2,5.0,7.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
almassora,Almassora,C. Valenciana,29159,1200,610,6.1,5.0,7.0,26,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sant-antoni-de-portmany,Sant Antoni de Portmany,Islas Baleares,14292,3500,1380,4.7,7.0,8.5,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
camas,Camas,Andalucía,25679,1500,770,6.2,6.0,8.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
candelaria,Candelaria,Canarias,12392,1830,795,5.2,5.5,7.5,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
redondela,Redondela,Galicia,28893,1500,700,5.6,4.5,6.5,25,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sant-vicenc-dels-horts,Sant Vicenç dels Horts,Cataluña,22621,2310,1010,5.2,5.0,7.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
mutxamel,Mutxamel,C. Valenciana,12779,1820,940,6.2,6.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
betera,Bétera,C. Valenciana,11619,1740,900,6.2,6.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
sestao,Sestao,País Vasco,34496,1900,920,5.8,4.5,7.0,24,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
paiporta,Paiporta,C. Valenciana,17259,1640,790,5.8,6.0,8.5,22,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
calp,Calp,C. Valenciana,27616,2310,1080,5.6,6.5,9.0,21,Estimado,historico,estimado_ratio,2026-07-22,2026Q3
